payload_source,payload_label,method_id,method_name,getter_id,payload_hex,payload_len,round_index,generation_strategy,seed_payload_hex,feedback_note,classification,normal_response_count,error_response_count,timeout_count,non_trivial_state_effect_count,non_trivial_state_effect_rate
llm_feedback,m12_byte3_2_0000000100000001,12,setSeatHeatingLevel,11,0000000200000001,8,2,byte_mutation,0000000100000001,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m12_byte3_3_0000000100000001,12,setSeatHeatingLevel,11,0000000300000001,8,2,byte_mutation,0000000100000001,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m12_double_00000001,12,setSeatHeatingLevel,11,0000000100000001,8,1,length_variation_duplication,00000001,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m12_double_0000000100000001,12,setSeatHeatingLevel,11,00000001000000010000000100000001,16,2,length_variation_duplication,0000000100000001,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m12_double_00000001ff,12,setSeatHeatingLevel,11,00000001ff00000001ff,10,2,length_variation_duplication,00000001ff,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m12_suffix_ff_00000001,12,setSeatHeatingLevel,11,00000001ff,5,1,suffix_padding,00000001,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m12_suffix_ff_0000000100000001,12,setSeatHeatingLevel,11,0000000100000001ff,9,2,suffix_padding,0000000100000001,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m12_suffix_ff_00000001ff,12,setSeatHeatingLevel,11,00000001ffff,6,2,suffix_padding,00000001ff,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m12_suffix_zero_00000001,12,setSeatHeatingLevel,11,0000000100,5,1,suffix_padding,00000001,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m12_suffix_zero_0000000100000001,12,setSeatHeatingLevel,11,000000010000000100,9,2,suffix_padding,0000000100000001,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m12_suffix_zero_00000001ff,12,setSeatHeatingLevel,11,00000001ff00,6,2,suffix_padding,00000001ff,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_baseline_open_all,14,changeDoorsState,8,01010101,4,1,semantic_seed,,initial Method 14 structure coverage,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte0_0_01010101,14,changeDoorsState,8,00010101,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte0_1_02020202,14,changeDoorsState,8,01020202,4,1,byte_mutation,02020202,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte0_255_01010101,14,changeDoorsState,8,ff010101,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte0_2_01010101,14,changeDoorsState,8,02010101,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte0_3_01010101,14,changeDoorsState,8,03010101,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte1_0_01010101,14,changeDoorsState,8,01000101,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte1_255_00010101,14,changeDoorsState,8,00ff0101,4,2,byte_mutation,00010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte1_255_01010101,14,changeDoorsState,8,01ff0101,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte1_2_00010101,14,changeDoorsState,8,00020101,4,2,byte_mutation,00010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte1_2_01010101,14,changeDoorsState,8,01020101,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte1_3_00010101,14,changeDoorsState,8,00030101,4,2,byte_mutation,00010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte1_3_01010101,14,changeDoorsState,8,01030101,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte2_0_00010101,14,changeDoorsState,8,00010001,4,2,byte_mutation,00010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte2_0_01010101,14,changeDoorsState,8,01010001,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte2_255_01010101,14,changeDoorsState,8,0101ff01,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte2_2_00010101,14,changeDoorsState,8,00010201,4,2,byte_mutation,00010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte2_2_01010101,14,changeDoorsState,8,01010201,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte2_3_01010101,14,changeDoorsState,8,01010301,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte3_0_01010101,14,changeDoorsState,8,01010100,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte3_255_01010101,14,changeDoorsState,8,010101ff,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte3_2_01010101,14,changeDoorsState,8,01010102,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_byte3_3_01010101,14,changeDoorsState,8,01010103,4,1,byte_mutation,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_double_00010101,14,changeDoorsState,8,0001010100010101,8,2,length_variation_duplication,00010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_double_01010101,14,changeDoorsState,8,0101010101010101,8,1,length_variation_duplication,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_mixed_open_close_1,14,changeDoorsState,8,01020102,4,1,semantic_seed,,initial Method 14 structure coverage,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_mixed_open_close_2,14,changeDoorsState,8,02010102,4,1,semantic_seed,,initial Method 14 structure coverage,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_open_front_left,14,changeDoorsState,8,01000000,4,1,semantic_seed,,initial Method 14 structure coverage,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_open_front_pair,14,changeDoorsState,8,01010000,4,1,semantic_seed,,initial Method 14 structure coverage,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_open_front_right,14,changeDoorsState,8,00010000,4,1,semantic_seed,,initial Method 14 structure coverage,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_open_rear_left,14,changeDoorsState,8,00000100,4,1,semantic_seed,,initial Method 14 structure coverage,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_open_rear_pair,14,changeDoorsState,8,00000101,4,1,semantic_seed,,initial Method 14 structure coverage,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_open_rear_right,14,changeDoorsState,8,00000001,4,1,semantic_seed,,initial Method 14 structure coverage,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_prefix_ff_00010101,14,changeDoorsState,8,ff00010101,5,2,prefix_padding,00010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_prefix_ff_01010101,14,changeDoorsState,8,ff01010101,5,1,prefix_padding,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_prefix_zero_00010101,14,changeDoorsState,8,0000010101,5,2,prefix_padding,00010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_prefix_zero_01010101,14,changeDoorsState,8,0001010101,5,1,prefix_padding,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_suffix_ff_00010101,14,changeDoorsState,8,00010101ff,5,2,suffix_padding,00010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_suffix_ff_01010101,14,changeDoorsState,8,01010101ff,5,1,suffix_padding,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_suffix_zero_00010101,14,changeDoorsState,8,0001010100,5,2,suffix_padding,00010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
llm_feedback,m14_suffix_zero_01010101,14,changeDoorsState,8,0101010100,5,1,suffix_padding,01010101,,reproducible_non_trivial_state_effect,10,0,0,10,1.000000
