candidate_index,trial_index,source_file,payload_source,payload_label,setter_method_id,getter_method_id,setter_payload_hex,expected_after_payload_hex,reset_payload_hex,reset_retcode,reset_verdict,reset_after_retcode,reset_after_payload_hex,before_retcode,before_payload_hex,setter_retcode,setter_verdict,after_retcode,after_payload_hex,state_changed,target_state_reached,latency_ms,error
1,1,results_llm_plan_20260421_144157.csv,llm,success_exact,10,9,000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,False,34.268,
1,2,results_llm_plan_20260421_144157.csv,llm,success_exact,10,9,000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,False,33.137,
1,3,results_llm_plan_20260421_144157.csv,llm,success_exact,10,9,000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,False,33.300,
1,4,results_llm_plan_20260421_144157.csv,llm,success_exact,10,9,000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,False,34.899,
1,5,results_llm_plan_20260421_144157.csv,llm,success_exact,10,9,000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,False,32.800,
1,6,results_llm_plan_20260421_144157.csv,llm,success_exact,10,9,000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,False,34.482,
1,7,results_llm_plan_20260421_144157.csv,llm,success_exact,10,9,000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,False,33.529,
1,8,results_llm_plan_20260421_144157.csv,llm,success_exact,10,9,000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,False,33.987,
1,9,results_llm_plan_20260421_144157.csv,llm,success_exact,10,9,000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,False,33.926,
1,10,results_llm_plan_20260421_144157.csv,llm,success_exact,10,9,000000000000000000000000000000000000000000000001,000000000000000000000000000000000000000000000001,00000000,0x00,normal_response,0x00,00000000,0x00,00000000,0x00,normal_response,0x00,00000000,False,False,34.375,
