payload_source,payload_label,payload_hex,trials,normal_response_count,error_response_count,timeout_count,state_changed_count,non_trivial_state_effect_count,non_trivial_state_effect_rate,classification
llm_example,close_all_reset_equivalent,02020202,10,10,0,0,0,0,0.000000,protocol_valid_no_effect
llm_example,long_one_extra_zero,0101010100,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
llm_example,long_padding_ff,01010101ffffffff,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
llm_example,long_prefix_zero,00000001010101,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
llm_example,mixed_open_close_1,01020102,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
llm_example,mixed_open_close_2,02010102,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
llm_example,nothing,00000000,10,10,0,0,0,0,0.000000,protocol_valid_no_effect
llm_example,open_all,01010101,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
llm_example,open_front_left,01000000,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
llm_example,open_front_pair,01010000,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
llm_example,open_front_right_and_rear_left,00010100,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
llm_example,open_rear_pair,00000101,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
radamsa_example,boundary_ff_all,ffffffff,10,10,0,0,0,0,0.000000,protocol_valid_no_effect
radamsa_example,deterministic_random4_01,19cc223e,10,10,0,0,0,0,0.000000,protocol_valid_no_effect
radamsa_example,deterministic_random4_02,c880aaf6,10,10,0,0,0,0,0.000000,protocol_valid_no_effect
radamsa_example,deterministic_random4_03,7874bffa,10,10,0,0,0,0,0.000000,protocol_valid_no_effect
radamsa_example,deterministic_random4_04,f135fa63,10,10,0,0,0,0,0.000000,protocol_valid_no_effect
radamsa_example,invalid_enum_3_all,03030303,10,10,0,0,0,0,0.000000,protocol_valid_no_effect
radamsa_example,long_one_extra_zero,0101010100,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
radamsa_example,long_padding_ff,01010101ffffffff,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
radamsa_example,long_prefix_zero,00000001010101,10,10,0,0,10,10,1.000000,reproducible_non_trivial_state_effect
radamsa_example,truncated_one,01,10,0,10,0,0,0,0.000000,rejected_or_error
radamsa_example,truncated_two,0101,10,0,10,0,0,0,0.000000,rejected_or_error
